epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1308.99,0.89078,1.60413,0.93882,0.9713,0.62297,0.55957,0.54104,0.37437,0.57359,0.50333,0.48515,0.32168,1.83989,3.60896,2.78084,1.77955,0.000877845,0.000877845,0.000877845
108,1319.62,0.90069,1.6486,0.96718,0.97055,0.58979,0.52667,0.53043,0.3363,0.44982,0.51878,0.45908,0.27841,2.02433,3.82354,2.59314,2.04014,0.000875645,0.000875645,0.000875645
109,1330.63,0.89281,1.63506,0.95956,0.96352,0.58784,0.60794,0.54759,0.34783,0.51743,0.528,0.46866,0.29125,1.92523,3.70918,2.53782,1.88031,0.000873445,0.000873445,0.000873445
110,1341.44,0.92583,1.64069,0.97018,0.97165,0.63185,0.56629,0.58016,0.41212,0.60462,0.55292,0.5498,0.35606,1.84811,3.80308,2.72185,1.73635,0.000871246,0.000871246,0.000871246
111,1353.28,0.86487,1.62448,0.93401,0.95181,0.71693,0.52221,0.58716,0.40473,0.68623,0.49579,0.5392,0.34829,1.805,3.62032,2.76599,1.71879,0.000869046,0.000869046,0.000869046
112,1364.22,0.88997,1.66355,0.95289,0.97173,0.67287,0.52649,0.57677,0.37607,0.57135,0.45983,0.48467,0.31804,1.89988,4.3521,2.66376,1.82066,0.000866847,0.000866847,0.000866847
113,1378.23,0.87114,1.57705,0.8888,0.94458,0.67354,0.49706,0.54366,0.37951,0.6194,0.45821,0.48853,0.32574,1.87188,3.82034,2.663,1.79371,0.000864647,0.000864647,0.000864647
114,1391.28,0.87083,1.602,0.90266,0.9701,0.65718,0.5039,0.5508,0.38388,0.61098,0.45915,0.4813,0.3281,1.82415,3.91091,2.86322,1.7052,0.000862447,0.000862447,0.000862447
115,1401.89,0.8475,1.63674,0.89464,0.93497,0.63378,0.52028,0.55048,0.36623,0.49985,0.48638,0.47647,0.31019,1.9145,3.97547,2.48788,1.81871,0.000860248,0.000860248,0.000860248
116,1412.25,0.86919,1.63855,0.91007,0.954,0.68623,0.59411,0.60782,0.3831,0.59059,0.52355,0.52352,0.34375,1.86669,3.7036,2.43513,1.7765,0.000858048,0.000858048,0.000858048
117,1423.41,0.8337,1.57999,0.87118,0.92968,0.69537,0.61422,0.62049,0.4198,0.62237,0.55836,0.53822,0.36257,1.92116,3.74116,2.60246,1.81608,0.000855849,0.000855849,0.000855849
118,1434.07,0.87504,1.61975,0.89563,0.95828,0.71522,0.57571,0.61083,0.41539,0.60943,0.52224,0.53968,0.34607,1.9779,3.89484,2.63172,1.9109,0.000853649,0.000853649,0.000853649
119,1446.87,0.88336,1.65116,0.9198,0.95923,0.63572,0.54658,0.56926,0.37772,0.57902,0.50095,0.50511,0.33536,1.93288,3.98686,2.49165,1.94566,0.00085145,0.00085145,0.00085145
120,1461.8,0.87079,1.63999,0.89068,0.96133,0.55305,0.61372,0.60106,0.40715,0.69433,0.43261,0.52592,0.35354,1.94005,3.58617,2.42264,1.84078,0.00084925,0.00084925,0.00084925
121,1472.9,0.86328,1.64026,0.88335,0.9565,0.65569,0.58236,0.60108,0.39866,0.56823,0.51212,0.51451,0.33871,1.90143,3.76431,2.47645,1.81534,0.00084705,0.00084705,0.00084705
122,1484.19,0.87217,1.60396,0.87857,0.94683,0.69326,0.56802,0.60916,0.39614,0.65826,0.5485,0.56165,0.3599,1.89339,3.56152,2.52697,1.81743,0.000844851,0.000844851,0.000844851
